Timestamp,MachineId,Load,VelRMS1 mm/s,VelRMS2 mm/s,AccRMS1 g,AccRMS2 g,Time
1631570400.0,995,,4.22,,0.917,,9-14-2021 0:00:00
1631570460.0,995,,4.16,,0.92,,9-14-2021 0:01:00
1631570520.0,995,,,1.12,,0.688,9-14-2021 0:02:00
1631570580.0,995,,,1.09,,0.691,9-14-2021 0:03:00
1631570640.0,995,,,1.11,,0.69,9-14-2021 0:04:00
1631570700.0,995,,,,,,9-14-2021 0:05:00
1631570760.0,995,,4.27,,0.916,,9-14-2021 0:06:00
1631570820.0,995,,4.12,,0.912,,9-14-2021 0:07:00
1631570880.0,995,,4.16,1.26,0.915,0.654,9-14-2021 0:08:00
1631570940.0,995,,,1.2,,0.643,9-14-2021 0:09:00
1631571000.0,995,,,1.24,,0.644,9-14-2021 0:10:00
1631571060.0,995,,,,,,9-14-2021 0:11:00
1631571120.0,995,,4.4,,0.926,,9-14-2021 0:12:00
1631571180.0,995,,4.56,,0.956,,9-14-2021 0:13:00
1631571240.0,995,,4.68,1.2,0.976,0.641,9-14-2021 0:14:00
1631571300.0,995,,,1.18,,0.703,9-14-2021 0:15:00
1631571360.0,995,,,1.15,,0.679,9-14-2021 0:16:00
1631571420.0,995,,,,,,9-14-2021 0:17:00
1631571480.0,995,,4.54,,0.925,,9-14-2021 0:18:00
1631571540.0,995,,4.7,,0.931,,9-14-2021 0:19:00
1631571600.0,995,,4.75,1.2,0.928,0.653,9-14-2021 0:20:00
1631571660.0,995,,,1.25,,0.648,9-14-2021 0:21:00
1631571720.0,995,,,1.2,,0.627,9-14-2021 0:22:00
1631571780.0,995,,,,,,9-14-2021 0:23:00
1631571840.0,995,,4.48,,0.929,,9-14-2021 0:24:00
1631571900.0,995,,4.53,,0.933,,9-14-2021 0:25:00
1631571960.0,995,,4.69,1.12,0.94,0.664,9-14-2021 0:26:00
1631572020.0,995,,,1.15,,0.676,9-14-2021 0:27:00
1631572080.0,995,,,1.14,,0.679,9-14-2021 0:28:00
1631572140.0,995,,,,,,9-14-2021 0:29:00
